,Company Name,Model,Color,Price,MRP,RAM,ROM,Display size,Battery size,Processor
696,Karbonn,Frames S9,Grey,"7,777","7,777",2 GB,16GB,13.21 cm ,2900 mAh ,
697,Tecno,Camon i 2x,Blue,"14,074","14,074",4 GB, 64 GB,15.75 cm ,3750 mAh ,
698,Apple,iPhone 11 Pro Max,Space Grey,"1,31,900","1,31,900",, 256 GB,16.51 cm ,,A13 Bionic Chip 
699,Samsung,Galaxy J5 Prime,Gold,"13,500","13,500",3 GB,32GB,12.7 cm ,2400 mAh Li-Ion ,Exynos 7570 Quad Core 1.4GHz 
700,I,Kall K300 NEW,Black,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
701,Tecno,Camon i 2x,Black,"12,994","12,999",4 GB, 64 GB,15.75 cm ,3750 mAh ,
702,Tecno,Camon i4,Midnight Black,"12,242","12,250",3 GB,32GB,15.75 cm ,3500 mAh ,
703,Tecno,Camon i4,Nebula Black,"12,430","12,430",3 GB,32GB,15.75 cm ,3500 mAh ,
704,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
705,Tecno,Camon i4,Aqua Blue,"11,999","11,999",3 GB,32GB,15.75 cm ,3500 mAh ,
706,Leagoo,M9 Pro,Blue,"13,999","14,000",2 GB, 16 GB,14.53 cm ,3000 mAh ,
707,Redmi,Note 5 Pro,Red,"15,495","15,702",4 GB,64GB,15.21 cm ,4000 mAh Li Polymer ,Qualcomm Snapdragon 636 
708,Gionee,S11 Lite,Dark Blue,"9,590","14,999",4 GB,32GB,14.48 cm ,3030 mAh Lithium-polymer ,Snapdragon 430 Octa-core 
709,Samsung,Galaxy Note 10,Aura Glow,"75,000","75,000",8 GB, 256 GB,16.0 cm ,3500 mAh ,
710,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
711,OPPO,A5,Diamond Red,"15,752","15,752",4 GB,64GB,15.75 cm ,4230 mAh Li-ion ,Qualcomm Snapdragon 450 
712,Redmi,Note 5 Pro,Black,"13,999","16,999",6 GB,64GB,15.21 cm ,4000 mAh Li Polymer ,Qualcomm Snapdragon 636 
713,Samsung,Galaxy Note 8,Midnight Black,"59,900","59,900",6 GB,64GB,16.0 cm ,3300 mAh ,
714,I,Kall K700,Red,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
715,Honor,Bee 4G,Gold,"7,999","8,476",1 GB,8GB,12.7 cm ,2200 mAh ,Cortex-A53 
716,Samsung,Galaxy S10 Plus,Prism Black,"73,900","77,600",8 GB,128GB,16.26 cm ,4100 mAh Lithium-ion ,Exynos 9 9820 
717,Samsung,Galaxy J7 Pro,Black,"20,995","20,995",3 GB,64GB,13.97 cm ,3600 mAh ,Exynos Octa-Core 1.6GHz 
718,I,Kall K900,Dark Blue,"6,699","7,349",4 GB, 64 GB,13.97 cm ,3000 mAh ,
719,I,Kall K900,Sky Blue,"6,699","6,999",4 GB, 64 GB,13.97 cm ,3000 mAh ,
720,I,Kall K200,Golden,"4,899","4,999",2 GB, 16 GB,13.97 cm ,2500 mAh ,
721,Samsung,Galaxy J7 Nxt,Black,"11,995","11,995",2 GB,16GB,13.97 cm ,3000 mAh ,Exynos Octa-Core 1.6GHz 
722,Vivo,Y71,Matte Black,"10,900","10,900",3 GB,16GB,15.24 cm ,3360 mAh Li-ion ,Qualcomm Snapdragon 425 
723,Vivo,Y71,Gold,"10,900","10,900",3 GB,16GB,15.24 cm ,3360 mAh Li-ion ,Qualcomm Snapdragon 425 
724,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
725,Vivo,Y71,Gold,"12,000","12,000",4 GB,32GB,15.24 cm ,3360 mAh Li-ion ,Qualcomm Snapdragon 425 
726,Vivo,Y71,Matte Black,"12,000","12,000",4 GB,32GB,15.24 cm ,3360 mAh Li-ion ,Qualcomm Snapdragon 425 
727,Vivo,V1,Gold,"18,330","18,330",2 GB, 16 GB,12.7 cm ,2300 mAh ,
728,Samsung,Galaxy J6,Gold,"14,990","14,990",4 GB,64GB,14.22 cm ,3000 mAh ,Exynos 7870 
729,Samsung,Galaxy J4,Blue,"13,023","13,023",3 GB,32GB,13.97 cm ,3000 mAh ,Exynos 7570 
730,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
731,Itel,IT 1520,Black,"8,450","8,450",2 GB, 16 GB,12.7 cm ,2500 mAh ,
732,Samsung,Galaxy J5 Prime,Black,"14,500","14,500",2 GB,16GB,12.7 cm ,2400 mAh Li-Ion ,Exynos 7570 Quad Core 1.4GHz 
733,Samsung,Galaxy J2 Core,Blue,"6,190","6,190",1 GB,8GB,12.7 cm ,2600 mAh ,Exynos 7570 
734,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
735,Samsung,Galaxy A6,Black,"16,990","16,990",4 GB, 64 GB,14.22 cm ,3000 mAh ,
736,Samsung,Galaxy J6,Black,"14,990","14,990",4 GB,64GB,14.22 cm ,3000 mAh ,Exynos 7870 
737,Samsung,Galaxy J4,Black,"8,990","8,990",2 GB,16GB,13.97 cm ,3000 mAh ,Exynos 7570 
738,OPPO,F7,Red,"19,900","27,990",6 GB,128GB,15.82 cm ,3400 mAh ,MTK P60 Octa Core 2.0 GHz 
739,Samsung,Galaxy A50s,Prism Crush Violet,"24,900","24,900",4 GB, 128 GB,16.26 cm ,4000 mAh Li-ion ,Exynos 9611 
740,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
741,Gionee,X-1,Gold,"7,499","7,499",2 GB,16GB,12.7 cm ,3000 mAh Li-polymer ,MT6737 
742,Samsung,Galaxy Note 10,Aura Black,"75,000","75,000",8 GB, 256 GB,16.0 cm ,3500 mAh ,
743,Samsung,Galaxy J6 Plus,Red,"13,600","13,600",4 GB,64GB,15.24 cm ,3300 mAh ,Qualcomm Snapdragon SD425 
744,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
745,Samsung,Galaxy A6,Blue,"16,990","16,990",4 GB, 64 GB,14.22 cm ,3000 mAh ,
746,Samsung,Galaxy A20,Deep Blue,"11,490","12,900",3 GB,32GB,16.26 cm ,4000 mAh Lithium-ion ,Exynos 7884B 
747,I,Kall K 8 New,Green,"4,899","4,899",2 GB, 16 GB,13.97 cm ,2200 mAh ,
748,Samsung,Galaxy A10,Red,"8,700","8,700",2 GB,32GB,15.75 cm ,3400 mAh Lithium-ion ,Exynos 7884 
749,OPPO,F9,Mist Black,"17,890","21,990",4 GB,64GB,16.0 cm ,3500 mAh ,Mediatek Helio P60 Octacore 2.0 GHz 
750,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
751,Samsung,J7 Max,Gold,"11,046","11,046",4 GB,32GB,14.48 cm ,3300 mAh ,Mediatek Octa-Core 1.69GHz 
752,I,Kall K3,Red,"5,799","5,799",2 GB, 16 GB,15.9 cm ,3000 mAh ,
753,Vivo,Y71i,Matte Black,"8,900","8,900",2 GB,16GB,15.24 cm ,3360 mAh Li-ion ,Qualcomm Snapdragon 425 
754,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
755,Apple,iPhone 8 Plus,Gold,"59,990","68,285",, 256 GB,13.97 cm ,,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor "
756,InFocus,Turbo 5 Plus,Midnight Black,"9,500","9,500",3 GB, 32 GB,13.97 cm ,4850 mAh ,
757,OPPO,K3,Jade Black,"29,999","30,994",8 GB, 128 GB,16.51 cm ,3765 mAh ,
758,LG,V30+,Silver,"60,000","60,000",4 GB,128GB,15.24 cm ,3300 mAh ,Qualcomm Snapdragon 835 
759,LG,V30+,Black,"54,999","54,999",4 GB,128GB,15.24 cm ,3300 mAh ,Qualcomm Snapdragon 835 
760,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
761,OPPO,K3,Aurora Blue,"23,990","24,667",6 GB, 64 GB,16.51 cm ,3765 mAh ,
762,OPPO,A37f,Gold,"12,000","12,000",2 GB,16GB,12.7 cm ,2630 mAh ,Qualcomm Snapdragon 410 Quad Core 1.2GHz 
763,Samsung,Galaxy J4,Gold,"9,500","9,500",2 GB,16GB,13.97 cm ,3000 mAh ,Exynos 7570 
764,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
765,Voto,V2i,Black,"5,999","5,999",2 GB, 32 GB,12.7 cm ,3000 mAh ,Spreadtrum SC9832 Cortex A7 
766,Samsung,Galaxy J2-2017,Absolute black,"6,000","6,000",1 GB,8GB,11.94 cm ,2000 mAh ,
767,Samsung,Galaxy J2-2017,Metallic gold,"6,000","6,000",1 GB,8GB,11.94 cm ,2000 mAh ,
768,Samsung,Galaxy J7 Duo,Black,"17,962","17,962",4 GB,32GB,13.97 cm ,3000 mAh ,Exynos 7884 
769,I,Kall K220,Blue,"5,499","5,699",2 GB, 16 GB,15.24 cm ,3000 mAh ,
770,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
771,Tecno,Camon I Ace,Midnight Blue,"7,805","7,805",2 GB, 16 GB,13.84 cm ,3050 mAh ,
772,Vivo,Y91,Starry Black,"8,990","10,990",2 GB,32GB,15.8 cm ,4030 mAh Li-ion ,Helio P22 (MTK6762R) 
773,Karbonn,Yuva 2,Black,"6,334","6,334",2 GB,16GB,12.7 cm ,2250 mAh ,
774,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
775,Honor,Bee 2,Gold,"6,499","6,499",1 GB, 8 GB,11.43 cm ,2100 mAh ,
776,Wizphone,WP,Black,"5,479","5,499",2 GB, 16 GB,13.97 cm ,2400 mAh ,Snapdragon 
777,Samsung,Galaxy J2 2018,Gold,"7,500","7,500",2 GB,16GB,12.7 cm ,2600 mAh ,Snapdragon 425 
778,Samsung,Galaxy M40,Seawater Blue,"21,490","21,490",6 GB, 128 GB,16.0 cm ,3500 mAh ,
779,Samsung,Galaxy Note 10 Plus,Aura Glow,"85,000","85,000",12 GB,256GB,17.27 cm ,4300 mAh ,
780,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
781,Gionee,A1,Black,"21,499","21,499",4 GB,64GB,13.97 cm ,4010 mAh Li-Ion Polymer ,MediaTek MT6755 Helio P10 Octa Core 2.0GHz 
782,LG,Q6,Black,"10,800","10,999",3 GB,32GB,13.97 cm ,3000 mAh Li-ion ,Qualcomm Snapdragon 435 1.4 GHz Octacore 
783,Vivo,, Y27L WHITE 16GB ) ,"13,760","13,760",1 GB, Y27L WHITE 16GB ) ,11.94 cm ,2260 mAh ,
784,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
